question_id,hop_depth,model_role,paragraph_id,delta_loo_lcb
4hop1__342858_131850_33952_34109,4hop,small,0,0.037823999999999997
4hop1__342858_131850_33952_34109,4hop,small,1,0.025048
4hop1__342858_131850_33952_34109,4hop,small,2,0.1905
4hop1__342858_131850_33952_34109,4hop,small,3,0.158908
4hop1__342858_131850_33952_34109,4hop,small,4,0.21825
4hop1__342858_131850_33952_34109,4hop,small,5,0.225992
4hop1__342858_131850_33952_34109,4hop,small,6,0.063686
4hop1__342858_131850_33952_34109,4hop,small,7,0.387
4hop1__342858_131850_33952_34109,4hop,small,8,0.085872
4hop1__342858_131850_33952_34109,4hop,small,9,0.022524000000000002
4hop1__342858_131850_33952_34109,4hop,small,10,0.18225
4hop1__342858_131850_33952_34109,4hop,small,11,0.011238
4hop1__342858_131850_33952_34109,4hop,small,12,0.095828
4hop1__342858_131850_33952_34109,4hop,small,13,0.17625
4hop1__342858_131850_33952_34109,4hop,small,14,0.044422
4hop1__342858_131850_33952_34109,4hop,small,15,0.36
4hop1__342858_131850_33952_34109,4hop,small,16,0.24225
4hop1__342858_131850_33952_34109,4hop,small,17,0.01346
4hop1__342858_131850_33952_34109,4hop,small,18,0.38925
4hop1__342858_131850_33952_34109,4hop,small,19,0.11388
